Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order_Date,Shipment_Date
Standard Class,Corporate,United States,Fremont,Nebraska,68025.0,Central,Office Supplies,Art,19.46,7.0,0.0,5.0596,22/03/2019,28/03/2019
Standard Class,Corporate,United States,Fremont,Nebraska,68025.0,Central,Office Supplies,Appliances,60.34,7.0,0.0,15.6884,22/03/2019,28/03/2019
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Furniture,Chairs,71.372,2.0,0.3,-1.0196,30/03/2019,03/04/2019
Standard Class,Consumer,United States,Orem,Utah,84057.0,West,Furniture,Tables,1044.63,3.0,0.0,240.2649,03/04/2019,08/04/2019
Second Class,Consumer,United States,Los Angeles,California,90049.0,West,Office Supplies,Binders,11.648,2.0,0.2,4.2224,14/04/2019,17/04/2019
Second Class,Consumer,United States,Los Angeles,California,90049.0,West,Technology,Accessories,90.57,3.0,0.0,11.7741,19/04/2019,21/04/2019
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Furniture,Bookcases,3083.43,7.0,0.5,-1665.0522,19/04/2019,21/04/2019
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Binders,9.618,2.0,0.7,-7.0532,22/04/2019,22/04/2019
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Furniture,Furnishings,124.2,3.0,0.2,15.525,23/04/2019,28/04/2019
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Envelopes,3.264,2.0,0.2,1.1016,24/04/2019,26/04/2019
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Art,86.304,6.0,0.2,9.7092,24/04/2019,26/04/2019
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Binders,6.858,6.0,0.7,-5.715,24/04/2019,26/04/2019
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Art,15.76,2.0,0.2,3.5460000000000003,24/04/2019,29/04/2019
Second Class,Home Office,United States,Houston,Texas,77095.0,Central,Office Supplies,Paper,29.471999999999998,3.0,0.2,9.9468,24/04/2019,29/04/2019
First Class,Corporate,United States,Richardson,Texas,75080.0,Central,Technology,Phones,1097.5439999999999,7.0,0.2,123.4737,24/04/2019,29/04/2019
First Class,Corporate,United States,Richardson,Texas,75080.0,Central,Furniture,Furnishings,190.92,5.0,0.6,-147.963,25/04/2019,28/04/2019
Standard Class,Home Office,United States,Houston,Texas,77041.0,Central,Office Supplies,Envelopes,113.32799999999999,9.0,0.2,35.415,05/05/2019,11/05/2019
Standard Class,Home Office,United States,Houston,Texas,77041.0,Central,Furniture,Bookcases,532.3992,3.0,0.32,-46.9764,08/05/2019,12/05/2019
Standard Class,Home Office,United States,Houston,Texas,77041.0,Central,Furniture,Chairs,212.058,3.0,0.3,-15.147,08/05/2019,12/05/2019
Standard Class,Home Office,United States,Houston,Texas,77041.0,Central,Technology,Phones,371.168,4.0,0.2,41.7564,12/05/2019,15/05/2019
Standard Class,Corporate,United States,Naperville,Illinois,60540.0,Central,Technology,Phones,147.168,4.0,0.2,16.5564,15/05/2019,18/05/2019
Standard Class,Corporate,United States,Los Angeles,California,90049.0,West,Office Supplies,Storage,77.88,2.0,0.0,3.8939999999999997,20/05/2019,24/05/2019
Standard Class,Corporate,United States,Melbourne,Florida,32935.0,South,Office Supplies,Storage,95.616,2.0,0.2,9.5616,20/05/2019,24/05/2019
First Class,Corporate,United States,Eagan,Minnesota,55122.0,Central,Technology,Accessories,45.98,2.0,0.0,19.7714,20/05/2019,24/05/2019
First Class,Corporate,United States,Eagan,Minnesota,55122.0,Central,Office Supplies,Binders,17.46,2.0,0.0,8.2062,31/05/2019,31/05/2019
Second Class,Consumer,United States,Westland,Michigan,48185.0,Central,Office Supplies,Storage,211.96,4.0,0.0,8.4784,31/05/2019,31/05/2019
Standard Class,Consumer,United States,Dover,Delaware,19901.0,East,Technology,Accessories,45.0,3.0,0.0,4.95,31/05/2019,31/05/2019
Standard Class,Consumer,United States,Dover,Delaware,19901.0,East,Technology,Phones,21.8,2.0,0.0,6.104,31/05/2019,31/05/2019
Standard Class,Consumer,United States,New Albany,Indiana,47150.0,Central,Office Supplies,Binders,38.22,6.0,0.0,17.9634,01/06/2019,06/06/2019
Standard Class,Consumer,United States,New Albany,Indiana,47150.0,Central,Office Supplies,Labels,75.18,6.0,0.0,35.3346,01/06/2019,06/06/2019
Standard Class,Consumer,United States,New Albany,Indiana,47150.0,Central,Furniture,Furnishings,6.16,2.0,0.0,2.9568,01/06/2019,06/06/2019
Standard Class,Consumer,United States,New Albany,Indiana,47150.0,Central,Furniture,Chairs,89.99,1.0,0.0,17.0981,01/06/2019,06/06/2019
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Office Supplies,Fasteners,15.26,7.0,0.0,6.2566,02/06/2019,04/06/2019
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Technology,Phones,1029.95,5.0,0.0,298.6855,06/06/2019,10/06/2019
First Class,Consumer,United States,Troy,New York,12180.0,East,Office Supplies,Storage,208.56,6.0,0.0,52.14,06/06/2019,10/06/2019
First Class,Consumer,United States,Troy,New York,12180.0,East,Office Supplies,Paper,32.4,5.0,0.0,15.552,06/06/2019,10/06/2019
First Class,Consumer,United States,Troy,New York,12180.0,East,Furniture,Chairs,319.41,5.0,0.1,7.098,06/06/2019,10/06/2019
First Class,Consumer,United States,Troy,New York,12180.0,East,Office Supplies,Paper,14.56,2.0,0.0,6.9888,06/06/2019,10/06/2019
First Class,Consumer,United States,Troy,New York,12180.0,East,Technology,Accessories,30.0,2.0,0.0,3.3,06/06/2019,10/06/2019
First Class,Consumer,United States,Troy,New York,12180.0,East,Office Supplies,Binders,48.48,4.0,0.2,16.362000000000002,06/06/2019,08/06/2019
First Class,Consumer,United States,Troy,New York,12180.0,East,Office Supplies,Art,1.68,1.0,0.0,0.84,07/06/2019,10/06/2019
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Technology,Accessories,13.98,2.0,0.0,6.1512,07/06/2019,11/06/2019
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Office Supplies,Binders,25.824,6.0,0.2,9.3612,07/06/2019,11/06/2019
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Office Supplies,Paper,146.73,3.0,0.0,68.9631,13/06/2019,18/06/2019
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Furniture,Furnishings,79.76,4.0,0.0,22.3328,14/06/2019,16/06/2019
Standard Class,Home Office,United States,Chicago,Illinois,60610.0,Central,Furniture,Chairs,213.115,5.0,0.3,-15.2225,14/06/2019,16/06/2019
Standard Class,Corporate,United States,Gilbert,Arizona,85234.0,West,Office Supplies,Art,1113.024,8.0,0.2,111.3024,20/06/2019,24/06/2019
Standard Class,Corporate,United States,Gilbert,Arizona,85234.0,West,Technology,Phones,167.968,4.0,0.2,62.988,21/06/2019,24/06/2019
First Class,Consumer,United States,Springfield,Virginia,22153.0,South,Office Supplies,Paper,75.88,2.0,0.0,35.6636,21/06/2019,26/06/2019
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Office Supplies,Binders,4.6160000000000005,1.0,0.2,1.7309999999999999,22/06/2019,26/06/2019
Second Class,Consumer,United States,Jackson,Michigan,49201.0,Central,Office Supplies,Paper,19.05,3.0,0.0,8.763,26/06/2019,01/07/2019
Standard Class,Consumer,United States,Memphis,Tennessee,38109.0,South,Furniture,Chairs,831.936,8.0,0.2,-114.3912,26/06/2019,01/07/2019
Standard Class,Consumer,United States,Memphis,Tennessee,38109.0,South,Furniture,Furnishings,97.04,2.0,0.2,1.213,27/06/2019,03/07/2019
Standard Class,Consumer,United States,Memphis,Tennessee,38109.0,South,Office Supplies,Storage,72.78399999999999,1.0,0.2,-18.195999999999998,27/06/2019,03/07/2019
First Class,Corporate,United States,Houston,Texas,77041.0,Central,Office Supplies,Binders,1.248,3.0,0.8,-1.9344,28/06/2019,28/06/2019
First Class,Corporate,United States,Houston,Texas,77041.0,Central,Furniture,Furnishings,9.708,3.0,0.6,-5.8248,29/06/2019,03/07/2019
First Class,Corporate,United States,Houston,Texas,77041.0,Central,Office Supplies,Storage,27.24,3.0,0.2,2.7239999999999998,29/06/2019,03/07/2019
Second Class,Consumer,United States,Houston,Texas,77070.0,Central,Furniture,Furnishings,19.3,5.0,0.6,-14.475,14/07/2019,17/07/2019
First Class,Corporate,United States,Decatur,Alabama,35601.0,South,Office Supplies,Appliances,208.16,1.0,0.0,56.2032,14/07/2019,17/07/2019
First Class,Corporate,United States,Decatur,Alabama,35601.0,South,Office Supplies,Binders,16.74,3.0,0.0,8.0352,14/07/2019,17/07/2019
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Office Supplies,Art,14.9,5.0,0.0,4.172,15/07/2019,18/07/2019
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Office Supplies,Storage,21.39,1.0,0.0,6.2031,22/07/2019,25/07/2019
Standard Class,Corporate,United States,Durham,North Carolina,27707.0,South,Office Supplies,Envelopes,200.984,7.0,0.2,62.8075,31/07/2019,04/08/2019
First Class,Home Office,United States,Chicago,Illinois,60623.0,Central,Office Supplies,Storage,230.37599999999998,3.0,0.2,-48.9549,31/07/2019,04/08/2019
Second Class,Consumer,United States,Columbia,South Carolina,29203.0,South,Furniture,Chairs,301.96,2.0,0.0,33.2156,31/07/2019,04/08/2019
Standard Class,Consumer,United States,Rochester,Minnesota,55901.0,Central,Technology,Accessories,19.99,1.0,0.0,6.7966,31/07/2019,05/08/2019
Standard Class,Consumer,United States,Rochester,Minnesota,55901.0,Central,Office Supplies,Labels,6.16,2.0,0.0,2.9568,31/07/2019,04/08/2019
Second Class,Home Office,United States,Houston,Texas,77095.0,Central,Office Supplies,Storage,158.368,7.0,0.2,13.8572,31/07/2019,04/08/2019
Standard Class,Corporate,United States,Los Angeles,California,90036.0,West,Office Supplies,Art,20.1,3.0,0.0,6.632999999999999,02/08/2019,05/08/2019
Standard Class,Corporate,United States,Los Angeles,California,90036.0,West,Technology,Phones,73.584,2.0,0.2,8.2782,03/08/2019,09/08/2019
Standard Class,Corporate,United States,Los Angeles,California,90036.0,West,Office Supplies,Paper,6.48,1.0,0.0,3.1104,09/08/2019,14/08/2019
Second Class,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,Office Supplies,Paper,12.96,2.0,0.0,6.2208,11/08/2019,15/08/2019
Second Class,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,Furniture,Furnishings,53.34,3.0,0.0,16.5354,11/08/2019,15/08/2019
Second Class,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,Office Supplies,Binders,32.96,2.0,0.0,16.1504,16/08/2019,18/08/2019
Standard Class,Home Office,United States,Portland,Oregon,97206.0,West,Office Supplies,Binders,5.682,1.0,0.7,-3.7880000000000003,16/08/2019,18/08/2019
Second Class,Home Office,United States,New York City,New York,10009.0,East,Furniture,Furnishings,96.53,7.0,0.0,40.5426,16/08/2019,20/08/2019
First Class,Consumer,United States,San Francisco,California,94122.0,West,Office Supplies,Binders,51.312,3.0,0.2,17.9592,16/08/2019,20/08/2019
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106.0,Central,Office Supplies,Appliances,77.88,6.0,0.0,22.5852,16/08/2019,20/08/2019
Standard Class,Home Office,United States,Chicago,Illinois,60610.0,Central,Office Supplies,Paper,64.624,7.0,0.2,22.6184,16/08/2019,20/08/2019
Standard Class,Home Office,United States,Chicago,Illinois,60610.0,Central,Technology,Accessories,95.976,3.0,0.2,-10.7973,21/08/2019,21/08/2019
Standard Class,Home Office,United States,Chicago,Illinois,60610.0,Central,Office Supplies,Binders,1.788,3.0,0.8,-3.0396,22/08/2019,24/08/2019
Second Class,Consumer,United States,Rochester,Minnesota,55901.0,Central,Office Supplies,Paper,23.92,4.0,0.0,11.7208,24/08/2019,28/08/2019
Standard Class,Consumer,United States,Aurora,Colorado,80013.0,West,Technology,Accessories,238.896,6.0,0.2,-26.8758,24/08/2019,28/08/2019
Standard Class,Consumer,United States,Aurora,Colorado,80013.0,West,Furniture,Furnishings,102.36,3.0,0.2,-3.8385,29/08/2019,02/09/2019
Standard Class,Consumer,United States,Aurora,Colorado,80013.0,West,Office Supplies,Binders,36.882,3.0,0.7,-25.8174,29/08/2019,02/09/2019
Standard Class,Consumer,United States,Charlotte,North Carolina,28205.0,South,Technology,Accessories,74.112,8.0,0.2,17.6016,01/09/2019,05/09/2019
Standard Class,Consumer,United States,Charlotte,North Carolina,28205.0,South,Technology,Phones,27.991999999999997,1.0,0.2,2.0994,07/09/2019,09/09/2019
Standard Class,Consumer,United States,Charlotte,North Carolina,28205.0,South,Office Supplies,Art,3.304,1.0,0.2,1.0738,07/09/2019,14/09/2019
Standard Class,Home Office,United States,Orland Park,Illinois,60462.0,Central,Technology,Accessories,339.96,5.0,0.2,67.992,12/09/2019,19/09/2019
Standard Class,Corporate,United States,New York City,New York,10035.0,East,Furniture,Furnishings,41.96,2.0,0.0,10.9096,20/09/2019,20/09/2019
Standard Class,Consumer,United States,Urbandale,Iowa,50322.0,Central,Office Supplies,Art,75.96,2.0,0.0,22.788,20/09/2019,23/09/2019
Standard Class,Consumer,United States,Urbandale,Iowa,50322.0,Central,Office Supplies,Binders,27.24,6.0,0.0,13.3476,20/09/2019,27/09/2019
Second Class,Consumer,United States,Columbus,Ohio,43229.0,East,Office Supplies,Fasteners,40.096,14.0,0.2,14.5348,20/09/2019,27/09/2019
Second Class,Consumer,United States,Columbus,Ohio,43229.0,East,Office Supplies,Envelopes,4.72,2.0,0.2,1.652,22/09/2019,24/09/2019
Second Class,Consumer,United States,Columbus,Ohio,43229.0,East,Office Supplies,Paper,23.976,3.0,0.2,7.4925,22/09/2019,27/09/2019
Second Class,Consumer,United States,Columbus,Ohio,43229.0,East,Office Supplies,Envelopes,130.464,6.0,0.2,44.0316,25/09/2019,29/09/2019
Standard Class,Consumer,United States,Seattle,Washington,98103.0,West,Furniture,Tables,787.53,3.0,0.0,165.3813,26/09/2019,30/09/2019
Standard Class,Corporate,United States,Bristol,Tennessee,37620.0,South,Office Supplies,Binders,157.79399999999998,1.0,0.7,-115.7156,26/09/2019,30/09/2019
First Class,Consumer,United States,Wilmington,Delaware,19805.0,East,Furniture,Furnishings,47.04,3.0,0.0,18.3456,28/09/2019,30/09/2019
First Class,Consumer,United States,Wilmington,Delaware,19805.0,East,Office Supplies,Binders,30.84,4.0,0.0,13.878,28/09/2019,30/09/2019
First Class,Consumer,United States,Wilmington,Delaware,19805.0,East,Office Supplies,Storage,226.56,6.0,0.0,63.4368,05/10/2019,11/10/2019
First Class,Consumer,United States,Wilmington,Delaware,19805.0,East,Office Supplies,Envelopes,115.02,9.0,0.0,51.75899999999999,05/10/2019,11/10/2019
First Class,Consumer,United States,Wilmington,Delaware,19805.0,East,Technology,Phones,68.04,7.0,0.0,19.7316,05/10/2019,11/10/2019
Second Class,Home Office,United States,Houston,Texas,77041.0,Central,Furniture,Chairs,600.558,3.0,0.3,-8.5794,06/10/2019,10/10/2019
Standard Class,Consumer,United States,Bloomington,Illinois,61701.0,Central,Furniture,Tables,617.7,6.0,0.5,-407.68199999999996,06/10/2019,10/10/2019
Standard Class,Consumer,United States,Phoenix,Arizona,85023.0,West,Office Supplies,Binders,2.388,2.0,0.7,-1.8308,06/10/2019,10/10/2019
Standard Class,Consumer,United States,Phoenix,Arizona,85023.0,West,Office Supplies,Storage,243.99200000000002,7.0,0.2,30.499000000000002,12/10/2019,17/10/2019
Second Class,Home Office,United States,Los Angeles,California,90004.0,West,Furniture,Chairs,81.42399999999999,2.0,0.2,-9.1602,13/10/2019,17/10/2019
Second Class,Home Office,United States,Los Angeles,California,90004.0,West,Furniture,Furnishings,238.56,3.0,0.0,26.2416,18/10/2019,22/10/2019
First Class,Corporate,United States,Columbus,Ohio,43229.0,East,Technology,Phones,59.97,5.0,0.4,-11.994000000000002,18/10/2019,23/10/2019
First Class,Corporate,United States,Columbus,Ohio,43229.0,East,Office Supplies,Paper,78.304,2.0,0.2,29.364,24/10/2019,29/10/2019
First Class,Corporate,United States,Columbus,Ohio,43229.0,East,Office Supplies,Fasteners,21.456,9.0,0.2,6.9732,24/10/2019,29/10/2019
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Paper,20.04,3.0,0.0,9.6192,26/10/2019,01/11/2019
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Paper,35.44,1.0,0.0,16.6568,31/10/2019,04/11/2019
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Art,11.52,4.0,0.0,3.4560000000000004,31/10/2019,04/11/2019
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Fasteners,4.02,2.0,0.0,1.9698,31/10/2019,04/11/2019
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Binders,76.176,3.0,0.2,26.6616,31/10/2019,04/11/2019
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Office Supplies,Supplies,65.88,6.0,0.0,18.4464,01/11/2019,05/11/2019
Standard Class,Consumer,United States,Roseville,California,95661.0,West,Furniture,Furnishings,43.12,14.0,0.0,20.6976,02/11/2019,07/11/2019
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,Furniture,Furnishings,82.8,2.0,0.2,10.35,02/11/2019,07/11/2019
Standard Class,Corporate,United States,San Francisco,California,94122.0,West,Office Supplies,Art,8.82,3.0,0.0,2.3814,02/11/2019,07/11/2019
Standard Class,Corporate,United States,San Francisco,California,94122.0,West,Office Supplies,Envelopes,10.86,3.0,0.0,5.1042,03/11/2019,05/11/2019
Standard Class,Corporate,United States,San Francisco,California,94122.0,West,Office Supplies,Paper,143.7,3.0,0.0,68.976,03/11/2019,05/11/2019
Standard Class,Consumer,United States,Independence,Missouri,64055.0,Central,Office Supplies,Appliances,839.43,3.0,0.0,218.2518,03/11/2019,05/11/2019
Standard Class,Consumer,United States,Pasadena,California,91104.0,West,Office Supplies,Storage,671.93,7.0,0.0,20.1579,03/11/2019,05/11/2019
Standard Class,Home Office,United States,Newark,Ohio,43055.0,East,Furniture,Furnishings,93.88799999999999,4.0,0.2,12.9096,03/11/2019,05/11/2019
Standard Class,Corporate,United States,Franklin,Wisconsin,53132.0,Central,Technology,Phones,384.45,11.0,0.0,103.8015,03/11/2019,05/11/2019
Standard Class,Corporate,United States,Franklin,Wisconsin,53132.0,Central,Technology,Phones,149.97,3.0,0.0,5.9988,06/11/2019,11/11/2019
Standard Class,Corporate,United States,Franklin,Wisconsin,53132.0,Central,Furniture,Chairs,1951.84,8.0,0.0,585.552,11/11/2019,13/11/2019
Standard Class,Corporate,United States,Franklin,Wisconsin,53132.0,Central,Office Supplies,Binders,171.55,5.0,0.0,80.6285,13/11/2019,14/11/2019
First Class,Home Office,United States,Scottsdale,Arizona,85254.0,West,Office Supplies,Appliances,157.92,5.0,0.2,17.766,13/11/2019,14/11/2019
First Class,Home Office,United States,Scottsdale,Arizona,85254.0,West,Technology,Phones,203.18400000000003,2.0,0.2,15.2388,13/11/2019,14/11/2019
First Class,Corporate,United States,San Jose,California,95123.0,West,Office Supplies,Paper,58.38,7.0,0.0,26.271,13/11/2019,14/11/2019
First Class,Corporate,United States,San Jose,California,95123.0,West,Office Supplies,Paper,105.52,4.0,0.0,48.5392,17/11/2019,22/11/2019
First Class,Corporate,United States,San Jose,California,95123.0,West,Office Supplies,Storage,80.88,6.0,0.0,21.0288,20/11/2019,20/11/2019
Standard Class,Home Office,United States,Seattle,Washington,98105.0,West,Office Supplies,Art,6.63,3.0,0.0,1.7901,20/11/2019,20/11/2019
Second Class,Consumer,United States,Seattle,Washington,98115.0,West,Furniture,Chairs,457.56800000000004,2.0,0.2,51.4764,20/11/2019,20/11/2019
Standard Class,Consumer,United States,Edmond,Oklahoma,73034.0,Central,Office Supplies,Labels,14.62,2.0,0.0,6.8714,20/11/2019,20/11/2019
Standard Class,Consumer,United States,Edmond,Oklahoma,73034.0,Central,Technology,Phones,944.93,7.0,0.0,236.2325,20/11/2019,20/11/2019
First Class,Consumer,United States,Los Angeles,California,90045.0,West,Office Supplies,Paper,5.98,1.0,0.0,2.6910000000000003,20/11/2019,20/11/2019
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Accessories,54.38399999999999,2.0,0.2,1.3596,22/11/2019,24/11/2019
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220.0,West,Office Supplies,Envelopes,28.4,5.0,0.0,13.347999999999999,22/11/2019,26/11/2019
Standard Class,Consumer,United States,Seattle,Washington,98115.0,West,Office Supplies,Binders,27.68,2.0,0.2,9.687999999999999,22/11/2019,26/11/2019
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Office Supplies,Art,9.936,3.0,0.2,2.7324,22/11/2019,26/11/2019
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Technology,Machines,8159.951999999999,8.0,0.4,-1359.9920000000002,22/11/2019,24/11/2019
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Office Supplies,Storage,275.928,3.0,0.2,-58.6347,22/11/2019,26/11/2019
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Furniture,Chairs,1740.06,9.0,0.3,-24.858,22/11/2019,26/11/2019
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Office Supplies,Art,32.064,6.0,0.2,6.8136,22/11/2019,26/11/2019
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Office Supplies,Appliances,177.98,5.0,0.8,-453.849,22/11/2019,26/11/2019
Standard Class,Consumer,United States,San Antonio,Texas,78207.0,Central,Technology,Phones,143.976,3.0,0.2,8.9985,23/11/2019,30/11/2019
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Office Supplies,Paper,20.94,3.0,0.0,9.8418,01/12/2019,02/12/2019
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Office Supplies,Paper,110.96,2.0,0.0,53.2608,07/12/2019,10/12/2019
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Furniture,Chairs,340.144,7.0,0.2,21.259,07/12/2019,10/12/2019
Standard Class,Corporate,United States,Chicago,Illinois,60623.0,Central,Office Supplies,Appliances,52.448,2.0,0.8,-131.12,07/12/2019,10/12/2019
Standard Class,Corporate,United States,Chicago,Illinois,60623.0,Central,Office Supplies,Labels,20.16,4.0,0.2,6.5520000000000005,14/12/2019,19/12/2019
Second Class,Consumer,United States,Houston,Texas,77036.0,Central,Office Supplies,Appliances,97.264,4.0,0.8,-243.16,14/12/2019,19/12/2019
Second Class,Consumer,United States,Newark,Ohio,43055.0,East,Furniture,Chairs,396.80199999999996,7.0,0.3,-11.3372,14/12/2019,19/12/2019
Second Class,Consumer,United States,Newark,Ohio,43055.0,East,Office Supplies,Supplies,15.88,5.0,0.2,-3.7715,16/12/2019,20/12/2019
Standard Class,Home Office,United States,New York City,New York,10009.0,East,Office Supplies,Art,3.28,1.0,0.0,1.4104,22/12/2019,27/12/2019
Second Class,Corporate,United States,Decatur,Illinois,62521.0,Central,Office Supplies,Storage,24.816,2.0,0.2,1.8612,22/12/2019,27/12/2019
Second Class,Corporate,United States,Decatur,Illinois,62521.0,Central,Technology,Accessories,408.744,7.0,0.2,76.6395,22/12/2019,27/12/2019
Second Class,Home Office,United States,Monroe,Louisiana,71203.0,South,Technology,Phones,503.96,4.0,0.0,131.0296,22/12/2019,26/12/2019
Second Class,Home Office,United States,Monroe,Louisiana,71203.0,South,Technology,Phones,149.95,5.0,0.0,41.986000000000004,25/12/2019,29/12/2019
Second Class,Home Office,United States,Monroe,Louisiana,71203.0,South,Technology,Accessories,29.0,2.0,0.0,7.25,25/12/2019,29/12/2019
Standard Class,Consumer,United States,Fairfield,Connecticut,6824.0,East,Office Supplies,Binders,7.16,2.0,0.0,3.4368,25/12/2019,29/12/2019
Standard Class,Home Office,United States,Los Angeles,California,90032.0,West,Technology,Accessories,176.8,8.0,0.0,22.984,25/12/2019,29/12/2019
Standard Class,Corporate,United States,Grand Prairie,Texas,75051.0,Central,Office Supplies,Storage,37.224000000000004,3.0,0.2,3.7224,25/12/2019,29/12/2019
Standard Class,Corporate,United States,Grand Prairie,Texas,75051.0,Central,Office Supplies,Paper,20.016,3.0,0.2,6.255,25/12/2019,29/12/2019
